"Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,     "rms[k]"     ,     "rms[w]"     
           0,     -0.7213595802,       1.570570928,      -2.181820121,       2.277570406
           1,      -1.027168833,       1.523836104,       -2.65995936,       1.799450696
           2,      -1.320277516,       1.373343576,      -2.641704013,       1.817693624
           3,      -1.668278797,       1.012857859,      -2.966978338,       1.492414922
           4,      -1.912583802,       0.824352828,      -3.172584863,       1.286807331
           5,      -2.112051007,      0.7249856194,       -3.23228403,       1.227108268
           6,      -2.336673058,       0.653912488,      -3.273446125,       1.185946175
           7,      -2.378143925,        0.62068278,      -3.315731834,        1.14366049
           8,      -2.390693367,      0.5981992179,      -3.356751773,       1.102640629
           9,      -2.439810895,      0.5570430917,      -3.394754346,       1.064638139
          10,      -2.537519115,      0.5128092421,      -3.431455025,       1.027937544
          11,      -2.629516937,      0.4748541493,      -3.458849053,       1.000543518
          12,      -2.677542999,      0.4036468605,      -3.483301974,      0.9760905977
          13,      -2.768867714,       0.334506899,      -3.503027717,      0.9563649043
          14,      -2.868248897,       0.315733452,      -3.517774313,      0.9416184153
          15,      -2.826340661,      0.3665747178,       -3.52720423,      0.9321886192
          16,      -2.717108962,      0.3754273294,      -3.534422284,      0.9249707366
          17,        -2.7124097,      0.3194400796,      -3.548569658,      0.9108236274
          18,      -2.815853739,      0.3402633131,      -3.564104989,      0.8952886074
          19,      -2.760588401,      0.3597116382,      -3.570350365,      0.8890434163
          20,       -2.75270256,      0.3277647055,      -3.577912739,      0.8814812423
          21,      -2.815312326,       0.327125578,      -3.586555078,      0.8728391117
          22,      -2.799677416,      0.3598653326,      -3.591356239,      0.8680381201
          23,      -2.731777826,      0.3823116742,       -3.59232636,      0.8670680827
          24,      -2.715367223,      0.3568074565,      -3.593400315,      0.8659942348
          25,      -2.732584156,      0.3029995549,      -3.596113675,      0.8632810207
          26,      -2.794304444,      0.2730694047,      -3.602940398,      0.8564545491
          27,      -2.878537315,      0.2658320327,      -3.608446409,      0.8509487605
          28,      -2.819778526,      0.3242179711,      -3.612932755,      0.8464626412
          29,      -2.732142465,      0.3601882421,      -3.616142538,      0.8432530567
          30,      -2.724174122,      0.3466705781,      -3.618809906,      0.8405858689
          31,      -2.743417902,      0.2835951513,      -3.623253478,      0.8361425345
          32,      -2.834015277,      0.2354772204,      -3.628491299,      0.8309049703
          33,      -2.943129565,      0.2830369219,      -3.634695198,      0.8247013517
          34,      -2.863035679,      0.3460078854,      -3.634468184,       0.824928462
          35,      -2.736817524,      0.3779719663,      -3.637001419,      0.8223954135
          36,      -2.727843988,      0.3580205749,       -3.63885682,      0.8205401526
          37,      -2.753292045,      0.3228678364,      -3.640945844,      0.8184512822
          38,      -2.771654482,      0.2574318981,      -3.639849211,      0.8195479517
          39,      -2.827439747,      0.1128828864,      -3.650152288,       0.809245275
          40,       -2.93166893,      0.0385788926,      -3.661113413,      0.7982845805
          41,      -3.057762787,      0.1669961236,      -3.660778332,      0.7986197192
          42,      -2.957448443,      0.2659517769,      -3.660466905,      0.7989311729
          43,      -2.838875668,      0.2466029792,      -3.662871143,      0.7965270561
          44,      -2.791443383,       0.272282143,      -3.668067799,      0.7913306045
          45,      -2.793981971,      0.3213329701,      -3.675646438,      0.7837522683
          46,      -2.749731006,      0.3717337553,      -3.676098808,       0.783299919
          47,       -2.71173704,      0.3623885951,      -3.676326728,      0.7830720034
          48,      -2.726965595,      0.3239216091,      -3.679137701,      0.7802611108
          49,      -2.755186308,       0.265881899,      -3.684879338,      0.7745196643
          50,      -2.823879034,      0.2097157981,      -3.680926872,       0.778471946
          51,      -2.779372761,      0.2032784787,      -3.680174463,      0.7792242676
          52,      -2.793701718,      0.2044055827,      -3.693147132,      0.7662520441
          53,      -2.793929355,      0.2403919001,      -3.692206451,      0.7671926364
          54,      -2.771968892,        0.23199706,      -3.698874738,       0.760524541
          55,      -2.813983578,      0.2757811585,      -3.709724654,      0.7496749791
          56,      -2.776631344,      0.3213283704,      -3.718140355,      0.7412595628
          57,      -2.739560054,      0.3293165622,      -3.720906156,       0.738493774
          58,      -2.747655826,      0.3191721344,      -3.726215256,       0.733184812
          59,      -2.777470328,      0.2484406553,      -3.729528695,      0.7298714173
          60,      -2.885240807,      0.1551154701,      -3.729847983,      0.7295520277
          61,      -2.897991472,       0.146467591,      -3.744326352,      0.7150741794
          62,      -3.017855158,      0.2444754569,      -3.753959262,      0.7054416181
          63,      -2.908793377,       0.338382874,      -3.753065793,      0.7063349029
          64,      -2.741298702,      0.3682671127,       -3.75691002,      0.7024907214
          65,      -2.741478592,      0.3557732067,      -3.759504702,      0.6998960114
          66,      -2.761582015,      0.3319747975,      -3.762929746,      0.6964709703
          67,       -2.78216627,      0.2728887658,      -3.763886713,      0.6955138908
          68,      -2.849060369,      0.2158328344,      -3.763804744,      0.6955957124
          69,      -2.821045788,      0.1706051112,      -3.777002384,      0.6823985319
          70,      -2.920266393,      0.1876454006,      -3.783638452,       0.675762608
          71,      -2.887565462,      0.2552011749,      -3.781037844,      0.6783628863
          72,      -2.808756752,       0.265321241,      -3.791739564,      0.6676615022
          73,      -2.778545006,      0.2907328255,      -3.790411515,      0.6689892837
          74,      -2.746735436,      0.3145410487,       -3.80265828,      0.6567429022
          75,      -2.738737921,      0.3689781534,      -3.806717725,      0.6526834486
          76,      -2.711133329,      0.3487936907,      -3.800868878,        0.65853181
          77,      -2.709357458,      0.3114571071,      -3.790129325,      0.6692706848
          78,      -2.715047758,      0.2663198259,      -3.800591599,      0.6588086695
          79,      -2.779257412,      0.2788602997,      -3.822281221,      0.6371198367
          80,      -2.754758712,      0.3190772619,      -3.830358998,      0.6290422409
          81,      -2.743771323,      0.3152103542,      -3.828381681,      0.6310192367
          82,      -2.754740903,      0.2933153051,      -3.825397085,      0.6340034236
          83,      -2.800437373,      0.2365063715,      -3.847081841,      0.6123194979
          84,       -2.95452791,      0.2622244561,      -3.861985001,      0.5974168117
          85,      -2.860828604,       0.338221448,      -3.858842024,       0.600559395
          86,      -2.730099285,      0.3705128486,      -3.860582941,      0.5988182667
          87,      -2.719934954,      0.3529829032,      -3.864639156,      0.5947619408
          88,      -2.743339955,      0.3225976338,      -3.869167993,      0.5902330248
          89,      -2.767664396,      0.2583021105,       -3.87323084,      0.5861700943
          90,      -2.840751631,      0.1992289739,      -3.867801547,      0.5915988077
          91,       -2.80996503,       0.241356068,      -3.862129631,      0.5972701687
          92,      -2.784318045,      0.2633720595,      -3.879357679,      0.5800425676
          93,       -2.77920842,      0.2688995731,       -3.90061595,       0.558784976
          94,      -2.790204963,      0.2641186517,       -3.89988612,      0.5595144172
          95,      -2.811102518,      0.2333137038,      -3.898882282,      0.5605178525
          96,      -2.850165356,      0.1914572443,      -3.917698879,      0.5417017499
          97,      -2.955188591,      0.2461373881,      -3.925592822,      0.5338077464
          98,       -2.85576557,      0.3247892655,      -3.905288843,      0.5541104473
          99,      -2.713387795,      0.3473375967,      -3.916818316,      0.5425810767
         100,      -2.723745002,       0.326032097,      -3.925261038,      0.5341383509
         101,      -2.747511637,      0.2842129499,      -3.921517964,      0.5378808782
         102,      -2.804309101,       0.154754967,      -3.948668842,      0.5107306859
         103,      -3.063083249,      0.1281076904,      -3.977786845,      0.4816135331
         104,      -2.986149033,      0.2556719773,      -3.935602155,      0.5237960828
         105,      -2.815996473,      0.2824192345,      -3.947219642,      0.5121786463
         106,      -2.759681254,      0.2980604923,      -3.939805158,      0.5195925055
         107,      -2.765859543,      0.2740224941,      -3.947305293,      0.5120922406
         108,      -2.821578958,       0.287290205,      -3.978750492,      0.4806477004
         109,      -2.778746762,      0.3319944596,      -3.982687203,      0.4767107318
         110,      -2.737114099,       0.342856842,      -3.978245928,      0.4811514364
         111,        -2.7217236,      0.3658227968,      -3.980101368,      0.4792956536
         112,      -2.704258984,      0.3420707285,      -3.982139123,      0.4772575727
         113,      -2.743105273,      0.2896978466,      -3.983572011,       0.475824346
         114,      -2.799432072,      0.2038528906,      -4.000786085,      0.4586103998
         115,       -2.90159367,      0.2211810832,      -3.980137148,      0.4792584039
         116,      -2.774320918,      0.3035886337,      -3.971094211,      0.4883007881
         117,      -2.707832644,      0.3234677371,      -3.962527501,      0.4968670504
         118,       -2.72423058,      0.2678864382,      -3.962468483,      0.4969257161
         119,      -2.802856267,      0.2537818625,      -4.034199664,      0.4251956575
