"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,     -0.7213595802,       1.570570928,      -12.50782143,       4.832721357,      -2.181820121,       2.277570406
          0,           0,           1,      -1.027168833,       1.523836104,      0.6231790389,       4.231985766,       -2.65995936,       1.799450696
          0,           0,           2,      -1.320277516,       1.373343576,      0.6004865673,       3.847832869,      -2.641704013,       1.817693624
          0,           0,           3,      -1.668278797,       1.012857859,      0.5399124549,       3.670849462,      -2.966978338,       1.492414922
          0,           0,           4,      -1.912583802,       0.824352828,      0.5230482274,       3.534261607,      -3.172584863,       1.286807331
          0,           0,           5,      -2.112051007,      0.7249856194,      0.4703921948,        3.32735655,       -3.23228403,       1.227108268
          0,           0,           6,      -2.336673058,       0.653912488,      0.3654978308,       3.121182351,      -3.273446125,       1.185946175
          0,           0,           7,      -2.378143925,        0.62068278,      0.2034197437,       3.118338921,      -3.315731834,        1.14366049
          0,           0,           8,      -2.390693367,      0.5981992179,    -0.02406768875,       3.117138577,      -3.356751773,       1.102640629
          0,           0,           9,      -2.439810895,      0.5570430917,     -0.1968770698,       3.074294326,      -3.394754346,       1.064638139
          0,           0,          10,      -2.537519115,      0.5128092421,     -0.2597403391,       2.976287738,      -3.431455025,       1.027937544
          0,           0,          11,      -2.629516937,      0.4748541493,      -0.283929295,       2.883477157,      -3.458849053,       1.000543518
          0,           0,          12,      -2.677542999,      0.4036468605,     -0.3096208991,       2.820986906,      -3.483301974,      0.9760905977
          0,           0,          13,      -2.768867714,       0.334506899,     -0.3975942597,       2.717830025,      -3.503027717,      0.9563649043
          0,           0,          14,      -2.868248897,       0.315733452,     -0.4759494817,       2.616574096,      -3.517774313,      0.9416184153
          0,           0,          15,      -2.826340661,      0.3665747178,     -0.5335069803,       2.656508329,       -3.52720423,      0.9321886192
          0,           0,          16,      -2.717108962,      0.3754273294,     -0.4984769146,       2.763760152,      -3.534422284,      0.9249707366
          0,           0,          17,        -2.7124097,      0.3194400796,     -0.4849989151,       2.756345328,      -3.548569658,      0.9108236274
          0,           0,          18,      -2.815853739,      0.3402633131,     -0.6472276746,       2.663262701,      -3.564104989,      0.8952886074
          0,           0,          19,      -2.760588401,      0.3597116382,     -0.6190993598,       2.724338174,      -3.570350365,      0.8890434163
          0,           0,          20,       -2.75270256,      0.3277647055,     -0.5823870923,       2.725455638,      -3.577912739,      0.8814812423
          0,           0,          21,      -2.815312326,       0.327125578,     -0.6435336203,       2.661689561,      -3.586555078,      0.8728391117
          0,           0,          22,      -2.799677416,      0.3598653326,     -0.6382553342,       2.682985895,      -3.591356239,      0.8680381201
          0,           0,          23,      -2.731777826,      0.3823116742,     -0.5755880705,       2.750657693,       -3.59232636,      0.8670680827
          0,           0,          24,      -2.715367223,      0.3568074565,     -0.5416906391,       2.759835239,      -3.593400315,      0.8659942348
          0,           0,          25,      -2.732584156,      0.3029995549,     -0.5472600359,        2.73836045,      -3.596113675,      0.8632810207
          0,           0,          26,      -2.794304444,      0.2730694047,     -0.6097281614,       2.674268672,      -3.602940398,      0.8564545491
          0,           0,          27,      -2.878537315,      0.2658320327,     -0.6672244888,       2.591234777,      -3.608446409,      0.8509487605
          0,           0,          28,      -2.819778526,      0.3242179711,     -0.6557442025,       2.659231118,      -3.612932755,      0.8464626412
          0,           0,          29,      -2.732142465,      0.3601882421,     -0.5843850452,       2.747628648,      -3.616142538,      0.8432530567
          0,           0,          30,      -2.724174122,      0.3466705781,     -0.5546607901,       2.750437757,      -3.618809906,      0.8405858689
          0,           0,          31,      -2.743417902,      0.2835951513,       -0.58089342,       2.725690203,      -3.623253478,      0.8361425345
          0,           0,          32,      -2.834015277,      0.2354772204,     -0.6261122493,        2.63308502,      -3.628491299,      0.8309049703
          0,           0,          33,      -2.943129565,      0.2830369219,     -0.6770455168,       2.527740294,      -3.634695198,      0.8247013517
          0,           0,          34,      -2.863035679,      0.3460078854,      -0.675688906,       2.618785163,      -3.634468184,       0.824928462
          0,           0,          35,      -2.736817524,      0.3779719663,     -0.5880694115,       2.743659303,      -3.637001419,      0.8223954135
          0,           0,          36,      -2.727843988,      0.3580205749,     -0.5477321794,       2.746695134,       -3.63885682,      0.8205401526
          0,           0,          37,      -2.753292045,      0.3228678364,     -0.5795683211,        2.71853244,      -3.640945844,      0.8184512822
