"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.258584206,     0.09749584175,      0.1335926574,       3.210775544,      -4.900995912
          0,           0,           1,      -2.633460059,      0.1317620097,       0.216696598,       2.872230092,      -5.209441072
          0,           0,           2,      -2.514916416,      0.0676997541,     -0.4983153613,        2.97884327,      -5.580848377
          0,           0,           3,      -2.792999662,   -0.001814313505,     -0.4641819208,       2.695982604,      -5.887643991
          0,           0,           4,      -3.252305075,    -0.05000113588,     -0.7864398473,       2.227893038,      -6.008682039
          0,           0,           5,      -3.475729207,    -0.09536706851,     -0.9077102243,       2.017517209,      -6.098551747
          0,           0,           6,      -3.613037537,     -0.1409128178,     -0.9856957563,       1.889074255,      -6.176330337
          0,           0,           7,      -3.709782044,     -0.1846410071,      -1.109263472,         1.7936434,      -6.245749691
          0,           0,           8,      -3.767781169,     -0.2265231728,      -1.210436075,       1.735756278,       -6.30685011
          0,           0,           9,      -3.835486801,     -0.2670677296,      -1.276862402,       1.669300271,      -6.358726023
          0,           0,          10,      -3.914546275,     -0.3060986413,      -1.317178256,       1.589998689,      -6.403025448
          0,           0,          11,      -3.985990099,     -0.3434655179,      -1.350260294,        1.51153857,      -6.446030793
          0,           0,          12,      -4.032491715,     -0.3794293985,      -1.393080134,       1.450655059,      -6.481181874
          0,           0,          13,      -4.060458852,     -0.4143525781,      -1.448166885,       1.409385138,      -6.519666578
          0,           0,          14,      -4.087944581,     -0.4483989044,      -1.508180426,       1.375590865,      -6.554669838
          0,           0,          15,      -4.123609371,     -0.4815375813,      -1.564301416,       1.339971414,      -6.591653187
          0,           0,          16,      -4.165707629,     -0.5137109469,      -1.612106549,       1.301472927,      -6.628522016
          0,           0,          17,      -4.208307616,     -0.5449543765,      -1.653187829,       1.263240882,      -6.661309769
          0,           0,          18,       -4.24611374,     -0.5753849348,      -1.692606519,       1.228738943,      -6.692563913
          0,           0,          19,       -4.27709374,     -0.6051179531,      -1.734477277,       1.199659228,      -6.716432328
